,I_CaII,I_CaII_Rneg,I_CaII_err,I_Ha06,I_Ha06_Rneg,I_Ha06_err,I_NaI,I_NaI_Rneg,I_NaI_err,actin_ver,bjd,file,instr,rv
79,0.39909659018397364,0.0,0.0013026156924776297,0.1605679688945495,0.0,0.00023079098725961892,0.1126276056209805,0.0,0.00021753328090035759,2.0_beta_11,2455225.85468373,average_2010-02-05_s1d_A.fits,test,-9760.000000000018
80,0.4014477124573478,0.0,0.001791741318208597,0.16015930861208943,0.0,0.00030743169873269783,0.11532245266041055,0.0,0.0002952138384167856,2.0_beta_11,2455234.66313346,average_2010-02-06_s1d_A.fits,test,-9490.000000000024
81,0.47299033449431954,0.0,0.0010916361678174782,0.16531067804781802,0.0,0.00017161538010951848,0.11551813246583398,0.0,0.00016373129040824148,2.0_beta_11,2454528.66384478,average_2010-02-07_s1d_A.fits,test,-9490.000000000024
82,0.39978622325406643,0.0,0.0010252474533544121,0.15914052058076267,0.0,0.00017945676446006942,0.11508243961322485,0.0,0.00017103015180083367,2.0_beta_11,2455238.82393386,average_2010-02-08_s1d_A.fits,test,-9490.000000000024
83,0.42733102432960784,0.0,0.001250928584926316,0.16075326803316112,0.0,0.00021285989704119323,0.11357740525439673,0.0,0.00020152251280039388,2.0_beta_11,2454913.71135484,average_2010-02-09_s1d_A.fits,test,-9450.000000000024
84,0.47750110308240484,0.0,0.00103111842101912,0.16509949326705883,0.0,0.00016395579623762046,0.11500913972041794,0.0,0.0001549639995118731,2.0_beta_11,2454527.70032644,average_2010-02-10_s1d_A.fits,test,-9480.000000000024
85,0.39978622325406643,0.0,0.0010252474533544121,0.15914052058076267,0.0,0.00017945676446006942,0.11508243961322485,0.0,0.00017103015180083367,2.0_beta_11,2455238.82393386,average_2010-02-11_s1d_A.fits,test,-9490.000000000024
86,0.4028325411686283,0.0,0.0010369617741808326,0.15993969182453324,0.0,0.00018306314226571385,0.11496195223072872,0.0,0.00017355277618509826,2.0_beta_11,2455239.75676411,average_2010-02-12_s1d_A.fits,test,-9490.000000000024
87,0.4316960694394443,0.0,0.0011698475914425845,0.16193427416622264,0.0,0.00020203566118406644,0.11494006563025044,0.0,0.00019295136665784183,2.0_beta_11,2454802.79498657,average_2010-02-13_s1d_A.fits,test,-9500.000000000024
88,0.39566185732285963,0.0,0.0014018692976250765,0.15969915530376877,0.0,0.00024642562815613256,0.11215124101348158,0.0,0.00023250969227147123,2.0_beta_11,2455223.85779049,average_2010-02-14_s1d_A.fits,test,-9770.000000000018
89,0.44505054800983457,0.0,0.0008804160385932561,0.1617884265543126,0.0,0.00014895046142273562,0.1157201824704271,0.0,0.0001440170203973767,2.0_beta_11,2454426.8302094,average_2010-02-15_s1d_A.fits,test,-9500.000000000024
90,0.480543817141917,0.0,0.0013103872878219122,0.1659960785958385,0.0,0.00020773711514396085,0.11604689664333136,0.0,0.00019747347949680257,2.0_beta_11,2454569.58882004,average_2010-02-16_s1d_A.fits,test,-9500.000000000024
91,0.4572909634636305,0.0,0.001743921467626273,0.1656830451768648,0.0,0.0002809294286226355,0.11514694850982467,0.0,0.000266747936503578,2.0_beta_11,2454879.71042652,average_2010-02-17_s1d_A.fits,test,-9480.000000000024
92,0.4731974098404781,0.0,0.0013293655106168694,0.1655949807667067,0.0,0.0001997972270231986,0.11614148194048014,0.0,0.00019278262881491738,2.0_beta_11,2454523.7298872,average_2010-02-18_s1d_A.fits,test,-9480.000000000024
